belongs_category,first_level,second_level,third_level,title,url
"{'name': 'Audible Books & Originals', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Audible Books & Originals', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,Simply Lies,https://www.amazon.com/Audible-Simply-Lies/dp/B0BBYTXNXD/ref=zg_bs_audible_sccl_16/142-2420717-6333747?isALC=true
"{'name': 'Audible Books & Originals', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Audible Books & Originals', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,Things We Never Got Over,https://www.amazon.com/Things-We-Never-Got-Over/dp/B09TPW7SPN/ref=zg_bs_audible_sccl_17/142-2420717-6333747?isALC=true
"{'name': 'Audible Books & Originals', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Audible Books & Originals', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,The Primal Hunter 5,https://www.amazon.com/Audible-The-Primal-Hunter-5/dp/B0C34BV5JN/ref=zg_bs_audible_sccl_18/142-2420717-6333747?isALC=true
"{'name': 'Automotive', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Automotive', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Castrol Edge 5W-30 Advanced Full Synthetic Motor Oil, 5 Quarts",https://www.amazon.com/Castrol-03084-5W-30-Advanced-Synthetic/dp/B00ICSWGJ0/ref=zg_bs_automotive_sccl_18/138-6204094-6498349?psc=1
"{'name': 'Automotive', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Automotive', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,CINDRO Cell Phone Stand for iPhone Automobile Accessories Automotive Hood Scoops Vents Hood Vents Red,https://www.amazon.com/CINDRO-iPhone-Automobile-Accessories-Automotive/dp/B0BXFKS8XM/ref=zg_bs_automotive_sccl_19/138-6204094-6498349?psc=1
"{'name': 'Automotive', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Automotive', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"anngrowy 62"" Microfiber Car Wash Brush Mop Kit Mitt Sponge with Long Handle Car Cleaning Supplies Kit Duster Washing Car Tools Accessories, 1 Chenille Scratch-Free Replacement Head Aluminum Alloy Pole",https://www.amazon.com/anngrowy-Microfiber-Accessories-Scratch-Free-Replacement/dp/B08C29V8B2/ref=zg_bs_automotive_sccl_20/138-6204094-6498349?psc=1
"{'name': 'Automotive', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Automotive', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Chemical Guys CLY_113 OG Clay Bar & Lubber Synthetic Lubricant Kit, Light/Medium Duty (16 oz) (2 Items) , Yellow",https://www.amazon.com/Chemical-Guys-Cly_113-Synthetic-Lubricant/dp/B0186RUIGO/ref=zg_bs_automotive_sccl_21/138-6204094-6498349?psc=1
"{'name': 'Automotive', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Automotive', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,Meguiar’s Deep Crystal Car Wash - pH Balanced Formula for Regular Washes and a Spotless Finish - Celebrate Father's Day With Enhanced Shine and Cleaning for His Ride - 64 Oz,https://www.amazon.com/Meguiars-G10464-Deep-Crystal-Wash/dp/B0009U7Y2I/ref=zg_bs_automotive_sccl_22/138-6204094-6498349?psc=1
"{'name': 'Automotive', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Automotive', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,TICARVE Cleaning Gel for Car Detailing Car Vent Cleaner Cleaning Putty Gel Auto Car Interior Cleaner Dust Cleaning Mud for Cars and Keyboard Cleaner Cleaning Slime Purple,https://www.amazon.com/TICARVE-Cleaning-Detailing-Interior-Keyboard/dp/B08RDNV8KQ/ref=zg_bs_automotive_sccl_23/138-6204094-6498349?psc=1
"{'name': 'Automotive', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Automotive', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,Amazon Basics Full Synthetic Motor Oil - 0W-20 - 5 Quart,https://www.amazon.com/AmazonBasics-Full-Synthetic-Motor-dexos1-Gen2/dp/B07CG384GQ/ref=zg_bs_automotive_sccl_24/138-6204094-6498349?psc=1
"{'name': 'Baby', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Baby', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Desitin Maximum Strength Baby Diaper Rash Cream with 40% Zinc Oxide for Treatment, Relief & Prevention, Hypoallergenic, Phthalate- & Paraben-Free Paste, 4.8 oz",https://www.amazon.com/Desitin-Maximum-Strength-Diaper-Prevention/dp/B00ZQXT4EY/ref=zg_bs_baby-products_sccl_8/136-9276383-1632966?psc=1
"{'name': 'Baby', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Baby', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Yogasleep Hushh & Crush Resistant Travel Case, (2 Piece Set) Portable White Noise Sound Machine for Baby, 3 Soothing Natural Sounds, Noise Canceling for Sleep Aid, Office Privacy, & Meditation",https://www.amazon.com/Marpac-Yogasleep-Parents-Machine-BND1011/dp/B084BNTTNQ/ref=zg_bs_baby-products_sccl_9/136-9276383-1632966?psc=1
"{'name': 'Baby', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Baby', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Diapers Size 5, 128 Count - Pampers Pull On Cruisers 360° Fit Disposable Baby Diapers with Stretchy Waistband, (Packaging & Prints May Vary)",https://www.amazon.com/Pampers-Cruisers-Disposable-Waistband-Packaging/dp/B08PX2V7PG/ref=zg_bs_baby-products_sccl_10/136-9276383-1632966?psc=1
"{'name': 'Baby', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Baby', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Philips AVENT Natural Baby Bottle with Natural Response Nipple, Clear, 9oz, 4pk, SCY903/04",https://www.amazon.com/Philips-AVENT-Natural-Bottle-Response/dp/B0964CHD65/ref=zg_bs_baby-products_sccl_11/136-9276383-1632966?psc=1
"{'name': 'Baby', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Baby', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Potty Training Seat with Step Stool Ladder,SKYROKU Potty Training Toilet for Kids Boys Girls Toddlers-Comfortable Safe Potty Seat with Anti-Slip Pads Ladder (Grey)",https://www.amazon.com/Training-Ladder-SKYROKU-Toddlers-Comfortable-Anti-Slip/dp/B097JKS4BK/ref=zg_bs_baby-products_sccl_12/136-9276383-1632966?psc=1
"{'name': 'Baby', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Baby', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"WaterWipes Plastic-Free Textured Clean, Toddler & Baby Wipes, 99.9% Water Based Wipes, Unscented & Hypoallergenic for Sensitive Skin, 240 Count (4 packs), Packaging May Vary",https://www.amazon.com/WaterWipes-Textured-Unscented-Hypoallergenic-Toddlers/dp/B07LBFB84L/ref=zg_bs_baby-products_sccl_13/136-9276383-1632966?psc=1
"{'name': 'Baby', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Baby', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Johnson's Head-To-Toe Gentle Baby Body Wash & Shampoo, Tear-Free, Sulfate-Free & Hypoallergenic Bath Wash & Shampoo for Baby's Sensitive Skin & Hair, Washes Away 99.9% Of Germs 27.1 fl. oz",https://www.amazon.com/Johnsons-Baby-Tear-Free-Sulfate-Free-Hypoallergenic/dp/B07D2JMJPS/ref=zg_bs_baby-products_sccl_14/136-9276383-1632966?psc=1
"{'name': 'Beauty & Personal Care', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Beauty & Personal Care', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Cetaphil Face Wash, Daily Facial Cleanser for Sensitive, Combination to Oily Skin, NEW 16 oz, Fragrance Free,Gentle Foaming, Soap Free, Hypoallergenic",https://www.amazon.com/CETAPHIL-Sensitive-Combination-Fragrance-Hypoallergenic/dp/B09Y4HHY1P/ref=zg_bs_beauty_sccl_50/146-2935851-5785521?psc=1
